id_voto,id_candidato,dpi_ciudadano,mesa_id,fecha_hora,,,,,,,,,,,
6,986,7730280000000,56,25/06/2023 8:18,,,,,,,,,,,
7,19,5914960000000,100,25/06/2023 18:08,,,,,,,,,,,
7,1067,5914960000000,100,25/06/2023 18:08,,,,,,,,,,,
7,262,5914960000000,100,25/06/2023 18:08,,,,,,,,,,,
7,591,5914960000000,100,25/06/2023 18:08,,,,,,,,,,,
7,953,5914960000000,100,25/06/2023 18:08,,,,,,,,,,,
8,-1,7663950000000,34,25/06/2023 16:40,,,,,,,,,,,
8,-1,7663950000000,34,25/06/2023 16:40,,,,,,,,,,,
8,-1,7663950000000,34,25/06/2023 16:40,,,,,,,,,,,
8,-1,7663950000000,34,25/06/2023 16:40,,,,,,,,,,,
8,-1,7663950000000,34,25/06/2023 16:40,,,,,,,,,,,
9,9,7172070000000,73,25/06/2023 8:58,,,,,,,,,,,
9,1067,7172070000000,73,25/06/2023 8:58,,,,,,,,,,,
9,69,7172070000000,73,25/06/2023 8:58,,,,,,,,,,,
9,464,7172070000000,73,25/06/2023 8:58,,,,,,,,,,,
9,919,7172070000000,73,25/06/2023 8:58,,,,,,,,,,,
10,17,5486730000000,39,25/06/2023 14:44,,,,,,,,,,,
10,1061,5486730000000,39,25/06/2023 14:44,,,,,,,,,,,
10,68,5486730000000,39,25/06/2023 14:44,,,,,,,,,,,
10,480,5486730000000,39,25/06/2023 14:44,,,,,,,,,,,
10,1000,5486730000000,39,25/06/2023 14:44,,,,,,,,,,,
11,8,6630990000000,75,25/06/2023 19:43,,,,,,,,,,,
11,1060,6630990000000,75,25/06/2023 19:43,,,,,,,,,,,
11,298,6630990000000,75,25/06/2023 19:43,,,,,,,,,,,
11,533,6630990000000,75,25/06/2023 19:43,,,,,,,,,,,
11,797,6630990000000,75,25/06/2023 19:43,,,,,,,,,,,
12,11,3715870000000,17,25/06/2023 6:42,,,,,,,,,,,
12,1068,3715870000000,17,25/06/2023 6:42,,,,,,,,,,,
12,360,3715870000000,17,25/06/2023 6:42,,,,,,,,,,,
12,574,3715870000000,17,25/06/2023 6:42,,,,,,,,,,,
12,942,3715870000000,17,25/06/2023 6:42,,,,,,,,,,,
13,11,3617460000000,61,25/06/2023 10:09,,,,,,,,,,,
13,1058,3617460000000,61,25/06/2023 10:09,,,,,,,,,,,
13,304,3617460000000,61,25/06/2023 10:09,,,,,,,,,,,
13,451,3617460000000,61,25/06/2023 10:09,,,,,,,,,,,
13,981,3617460000000,61,25/06/2023 10:09,,,,,,,,,,,
14,15,3344000000000,42,25/06/2023 13:28,,,,,,,,,,,
14,1062,3344000000000,42,25/06/2023 13:28,,,,,,,,,,,
14,76,3344000000000,42,25/06/2023 13:28,,,,,,,,,,,
14,470,3344000000000,42,25/06/2023 13:28,,,,,,,,,,,
14,833,3344000000000,42,25/06/2023 13:28,,,,,,,,,,,
15,-1,8718000000000,54,25/06/2023 11:47,,,,,,,,,,,
15,-1,8718000000000,54,25/06/2023 11:47,,,,,,,,,,,
15,-1,8718000000000,54,25/06/2023 11:47,,,,,,,,,,,
15,-1,8718000000000,54,25/06/2023 11:47,,,,,,,,,,,
15,-1,8718000000000,54,25/06/2023 11:47,,,,,,,,,,,
16,14,9422670000000,10,25/06/2023 13:37,,,,,,,,,,,
16,1066,9422670000000,10,25/06/2023 13:37,,,,,,,,,,,
16,316,9422670000000,10,25/06/2023 13:37,,,,,,,,,,,
16,607,9422670000000,10,25/06/2023 13:37,,,,,,,,,,,
16,1006,9422670000000,10,25/06/2023 13:37,,,,,,,,,,,
17,12,4461930000000,77,25/06/2023 8:43,,,,,,,,,,,
17,1057,4461930000000,77,25/06/2023 8:43,,,,,,,,,,,
17,285,4461930000000,77,25/06/2023 8:43,,,,,,,,,,,
17,575,4461930000000,77,25/06/2023 8:43,,,,,,,,,,,
17,703,4461930000000,77,25/06/2023 8:43,,,,,,,,,,,
18,9,2972220000000,24,25/06/2023 18:22,,,,,,,,,,,
18,1047,2972220000000,24,25/06/2023 18:22,,,,,,,,,,,
18,185,2972220000000,24,25/06/2023 18:22,,,,,,,,,,,
18,503,2972220000000,24,25/06/2023 18:22,,,,,,,,,,,
18,909,2972220000000,24,25/06/2023 18:22,,,,,,,,,,,
19,7,6367060000000,67,25/06/2023 9:35,,,,,,,,,,,
19,1047,6367060000000,67,25/06/2023 9:35,,,,,,,,,,,
19,370,6367060000000,67,25/06/2023 9:35,,,,,,,,,,,
19,597,6367060000000,67,25/06/2023 9:35,,,,,,,,,,,
19,757,6367060000000,67,25/06/2023 9:35,,,,,,,,,,,
20,9,2656600000000,78,25/06/2023 6:47,,,,,,,,,,,
20,1066,2656600000000,78,25/06/2023 6:47,,,,,,,,,,,
20,166,2656600000000,78,25/06/2023 6:47,,,,,,,,,,,
20,574,2656600000000,78,25/06/2023 6:47,,,,,,,,,,,
20,981,2656600000000,78,25/06/2023 6:47,,,,,,,,,,,
21,19,5711940000000,60,25/06/2023 5:47,,,,,,,,,,,
21,1052,5711940000000,60,25/06/2023 5:47,,,,,,,,,,,
21,57,5711940000000,60,25/06/2023 5:47,,,,,,,,,,,
21,507,5711940000000,60,25/06/2023 5:47,,,,,,,,,,,
21,1039,5711940000000,60,25/06/2023 5:47,,,,,,,,,,,
22,20,6283100000000,25,25/06/2023 15:11,,,,,,,,,,,
22,1062,6283100000000,25,25/06/2023 15:11,,,,,,,,,,,
22,90,6283100000000,25,25/06/2023 15:11,,,,,,,,,,,
22,439,6283100000000,25,25/06/2023 15:11,,,,,,,,,,,
22,950,6283100000000,25,25/06/2023 15:11,,,,,,,,,,,
23,11,6406860000000,4,25/06/2023 6:36,,,,,,,,,,,
23,1057,6406860000000,4,25/06/2023 6:36,,,,,,,,,,,
23,65,6406860000000,4,25/06/2023 6:36,,,,,,,,,,,
23,564,6406860000000,4,25/06/2023 6:36,,,,,,,,,,,
23,976,6406860000000,4,25/06/2023 6:36,,,,,,,,,,,
24,-1,7402190000000,50,25/06/2023 9:10,,,,,,,,,,,
24,-1,7402190000000,50,25/06/2023 9:10,,,,,,,,,,,
24,-1,7402190000000,50,25/06/2023 9:10,,,,,,,,,,,
24,-1,7402190000000,50,25/06/2023 9:10,,,,,,,,,,,
24,-1,7402190000000,50,25/06/2023 9:10,,,,,,,,,,,
25,21,4909580000000,47,25/06/2023 15:58,,,,,,,,,,,
25,1047,4909580000000,47,25/06/2023 15:58,,,,,,,,,,,
25,378,4909580000000,47,25/06/2023 15:58,,,,,,,,,,,
25,662,4909580000000,47,25/06/2023 15:58,,,,,,,,,,,
25,800,4909580000000,47,25/06/2023 15:58,,,,,,,,,,,
26,7,8073390000000,86,25/06/2023 5:47,,,,,,,,,,,
26,1050,8073390000000,86,25/06/2023 5:47,,,,,,,,,,,
26,123,8073390000000,86,25/06/2023 5:47,,,,,,,,,,,
26,582,8073390000000,86,25/06/2023 5:47,,,,,,,,,,,
26,943,8073390000000,86,25/06/2023 5:47,,,,,,,,,,,
27,21,6621920000000,5,25/06/2023 18:13,,,,,,,,,,,
27,1053,6621920000000,5,25/06/2023 18:13,,,,,,,,,,,
27,127,6621920000000,5,25/06/2023 18:13,,,,,,,,,,,
27,429,6621920000000,5,25/06/2023 18:13,,,,,,,,,,,
27,985,6621920000000,5,25/06/2023 18:13,,,,,,,,,,,
28,-1,8860720000000,18,25/06/2023 17:20,,,,,,,,,,,
28,-1,8860720000000,18,25/06/2023 17:20,,,,,,,,,,,
28,-1,8860720000000,18,25/06/2023 17:20,,,,,,,,,,,
28,-1,8860720000000,18,25/06/2023 17:20,,,,,,,,,,,
28,-1,8860720000000,18,25/06/2023 17:20,,,,,,,,,,,
29,12,1614110000000,70,25/06/2023 17:04,,,,,,,,,,,
29,1066,1614110000000,70,25/06/2023 17:04,,,,,,,,,,,
29,345,1614110000000,70,25/06/2023 17:04,,,,,,,,,,,
29,568,1614110000000,70,25/06/2023 17:04,,,,,,,,,,,
29,809,1614110000000,70,25/06/2023 17:04,,,,,,,,,,,
30,3,2865310000000,100,25/06/2023 6:46,,,,,,,,,,,
30,1066,2865310000000,100,25/06/2023 6:46,,,,,,,,,,,
30,81,2865310000000,100,25/06/2023 6:46,,,,,,,,,,,
30,611,2865310000000,100,25/06/2023 6:46,,,,,,,,,,,
30,956,2865310000000,100,25/06/2023 6:46,,,,,,,,,,,
31,20,1454200000000,29,25/06/2023 7:02,,,,,,,,,,,
31,1066,1454200000000,29,25/06/2023 7:02,,,,,,,,,,,
31,361,1454200000000,29,25/06/2023 7:02,,,,,,,,,,,
31,667,1454200000000,29,25/06/2023 7:02,,,,,,,,,,,
31,750,1454200000000,29,25/06/2023 7:02,,,,,,,,,,,
32,18,9080950000000,95,25/06/2023 19:48,,,,,,,,,,,
32,1051,9080950000000,95,25/06/2023 19:48,,,,,,,,,,,
32,258,9080950000000,95,25/06/2023 19:48,,,,,,,,,,,
32,584,9080950000000,95,25/06/2023 19:48,,,,,,,,,,,
32,991,9080950000000,95,25/06/2023 19:48,,,,,,,,,,,
33,3,9715550000000,59,25/06/2023 14:10,,,,,,,,,,,
33,1055,9715550000000,59,25/06/2023 14:10,,,,,,,,,,,
33,98,9715550000000,59,25/06/2023 14:10,,,,,,,,,,,
33,647,9715550000000,59,25/06/2023 14:10,,,,,,,,,,,
33,831,9715550000000,59,25/06/2023 14:10,,,,,,,,,,,
34,8,1105130000000,60,25/06/2023 14:58,,,,,,,,,,,
34,1069,1105130000000,60,25/06/2023 14:58,,,,,,,,,,,
34,63,1105130000000,60,25/06/2023 14:58,,,,,,,,,,,
34,398,1105130000000,60,25/06/2023 14:58,,,,,,,,,,,
34,894,1105130000000,60,25/06/2023 14:58,,,,,,,,,,,
35,13,7246820000000,55,25/06/2023 9:11,,,,,,,,,,,
35,1065,7246820000000,55,25/06/2023 9:11,,,,,,,,,,,
35,228,7246820000000,55,25/06/2023 9:11,,,,,,,,,,,
35,453,7246820000000,55,25/06/2023 9:11,,,,,,,,,,,
35,898,7246820000000,55,25/06/2023 9:11,,,,,,,,,,,
36,5,9073500000000,33,25/06/2023 15:43,,,,,,,,,,,
36,1061,9073500000000,33,25/06/2023 15:43,,,,,,,,,,,
36,356,9073500000000,33,25/06/2023 15:43,,,,,,,,,,,
36,656,9073500000000,33,25/06/2023 15:43,,,,,,,,,,,
36,810,9073500000000,33,25/06/2023 15:43,,,,,,,,,,,
37,5,1896660000000,61,25/06/2023 18:30,,,,,,,,,,,
37,1054,1896660000000,61,25/06/2023 18:30,,,,,,,,,,,
37,111,1896660000000,61,25/06/2023 18:30,,,,,,,,,,,
37,556,1896660000000,61,25/06/2023 18:30,,,,,,,,,,,
37,1034,1896660000000,61,25/06/2023 18:30,,,,,,,,,,,
38,21,9456840000000,6,25/06/2023 12:56,,,,,,,,,,,
38,1057,9456840000000,6,25/06/2023 12:56,,,,,,,,,,,
38,205,9456840000000,6,25/06/2023 12:56,,,,,,,,,,,
38,550,9456840000000,6,25/06/2023 12:56,,,,,,,,,,,
38,729,9456840000000,6,25/06/2023 12:56,,,,,,,,,,,
39,19,4912660000000,40,25/06/2023 11:00,,,,,,,,,,,
39,1050,4912660000000,40,25/06/2023 11:00,,,,,,,,,,,
39,335,4912660000000,40,25/06/2023 11:00,,,,,,,,,,,
39,592,4912660000000,40,25/06/2023 11:00,,,,,,,,,,,
39,991,4912660000000,40,25/06/2023 11:00,,,,,,,,,,,
40,2,7576090000000,14,25/06/2023 9:12,,,,,,,,,,,
40,1068,7576090000000,14,25/06/2023 9:12,,,,,,,,,,,
40,256,7576090000000,14,25/06/2023 9:12,,,,,,,,,,,
40,688,7576090000000,14,25/06/2023 9:12,,,,,,,,,,,
40,942,7576090000000,14,25/06/2023 9:12,,,,,,,,,,,
41,20,6023780000000,48,25/06/2023 17:07,,,,,,,,,,,
41,1058,6023780000000,48,25/06/2023 17:07,,,,,,,,,,,
41,248,6023780000000,48,25/06/2023 17:07,,,,,,,,,,,
41,645,6023780000000,48,25/06/2023 17:07,,,,,,,,,,,
41,722,6023780000000,48,25/06/2023 17:07,,,,,,,,,,,
42,5,5741440000000,26,25/06/2023 19:52,,,,,,,,,,,
42,1053,5741440000000,26,25/06/2023 19:52,,,,,,,,,,,
42,298,5741440000000,26,25/06/2023 19:52,,,,,,,,,,,
42,487,5741440000000,26,25/06/2023 19:52,,,,,,,,,,,
42,760,5741440000000,26,25/06/2023 19:52,,,,,,,,,,,
43,2,7362960000000,31,25/06/2023 19:40,,,,,,,,,,,
43,1053,7362960000000,31,25/06/2023 19:40,,,,,,,,,,,
43,298,7362960000000,31,25/06/2023 19:40,,,,,,,,,,,
43,679,7362960000000,31,25/06/2023 19:40,,,,,,,,,,,
43,1016,7362960000000,31,25/06/2023 19:40,,,,,,,,,,,
44,3,5789960000000,73,25/06/2023 14:14,,,,,,,,,,,
44,1066,5789960000000,73,25/06/2023 14:14,,,,,,,,,,,
44,106,5789960000000,73,25/06/2023 14:14,,,,,,,,,,,
44,657,5789960000000,73,25/06/2023 14:14,,,,,,,,,,,
44,878,5789960000000,73,25/06/2023 14:14,,,,,,,,,,,
45,4,8396580000000,72,25/06/2023 13:40,,,,,,,,,,,
45,1069,8396580000000,72,25/06/2023 13:40,,,,,,,,,,,
45,156,8396580000000,72,25/06/2023 13:40,,,,,,,,,,,
45,694,8396580000000,72,25/06/2023 13:40,,,,,,,,,,,
45,878,8396580000000,72,25/06/2023 13:40,,,,,,,,,,,
46,-1,8143780000000,100,25/06/2023 5:42,,,,,,,,,,,
46,-1,8143780000000,100,25/06/2023 5:42,,,,,,,,,,,
46,-1,8143780000000,100,25/06/2023 5:42,,,,,,,,,,,
46,-1,8143780000000,100,25/06/2023 5:42,,,,,,,,,,,
46,-1,8143780000000,100,25/06/2023 5:42,,,,,,,,,,,
47,12,1439430000000,85,25/06/2023 13:15,,,,,,,,,,,
47,1051,1439430000000,85,25/06/2023 13:15,,,,,,,,,,,
47,186,1439430000000,85,25/06/2023 13:15,,,,,,,,,,,
47,513,1439430000000,85,25/06/2023 13:15,,,,,,,,,,,
47,741,1439430000000,85,25/06/2023 13:15,,,,,,,,,,,
48,7,5145820000000,37,25/06/2023 18:26,,,,,,,,,,,
48,1053,5145820000000,37,25/06/2023 18:26,,,,,,,,,,,
48,345,5145820000000,37,25/06/2023 18:26,,,,,,,,,,,
48,555,5145820000000,37,25/06/2023 18:26,,,,,,,,,,,
48,745,5145820000000,37,25/06/2023 18:26,,,,,,,,,,,
49,3,2767850000000,66,25/06/2023 15:46,,,,,,,,,,,
49,1064,2767850000000,66,25/06/2023 15:46,,,,,,,,,,,
49,78,2767850000000,66,25/06/2023 15:46,,,,,,,,,,,
49,428,2767850000000,66,25/06/2023 15:46,,,,,,,,,,,
49,892,2767850000000,66,25/06/2023 15:46,,,,,,,,,,,
50,17,7016220000000,50,25/06/2023 19:33,,,,,,,,,,,
50,1066,7016220000000,50,25/06/2023 19:33,,,,,,,,,,,
50,60,7016220000000,50,25/06/2023 19:33,,,,,,,,,,,
50,587,7016220000000,50,25/06/2023 19:33,,,,,,,,,,,
50,982,7016220000000,50,25/06/2023 19:33,,,,,,,,,,,
51,6,3863720000000,31,25/06/2023 12:35,,,,,,,,,,,
51,1053,3863720000000,31,25/06/2023 12:35,,,,,,,,,,,
51,215,3863720000000,31,25/06/2023 12:35,,,,,,,,,,,
51,625,3863720000000,31,25/06/2023 12:35,,,,,,,,,,,
51,940,3863720000000,31,25/06/2023 12:35,,,,,,,,,,,
52,13,5146910000000,69,25/06/2023 13:01,,,,,,,,,,,
52,1048,5146910000000,69,25/06/2023 13:01,,,,,,,,,,,
52,163,5146910000000,69,25/06/2023 13:01,,,,,,,,,,,
52,659,5146910000000,69,25/06/2023 13:01,,,,,,,,,,,
52,821,5146910000000,69,25/06/2023 13:01,,,,,,,,,,,
53,18,7402910000000,71,25/06/2023 12:56,,,,,,,,,,,
53,1049,7402910000000,71,25/06/2023 12:56,,,,,,,,,,,
53,86,7402910000000,71,25/06/2023 12:56,,,,,,,,,,,
53,643,7402910000000,71,25/06/2023 12:56,,,,,,,,,,,
53,837,7402910000000,71,25/06/2023 12:56,,,,,,,,,,,
54,22,2668280000000,95,25/06/2023 10:41,,,,,,,,,,,
54,1059,2668280000000,95,25/06/2023 10:41,,,,,,,,,,,
54,101,2668280000000,95,25/06/2023 10:41,,,,,,,,,,,
54,667,2668280000000,95,25/06/2023 10:41,,,,,,,,,,,
54,836,2668280000000,95,25/06/2023 10:41,,,,,,,,,,,
55,14,8774650000000,41,25/06/2023 11:59,,,,,,,,,,,
55,1055,8774650000000,41,25/06/2023 11:59,,,,,,,,,,,
55,192,8774650000000,41,25/06/2023 11:59,,,,,,,,,,,
55,606,8774650000000,41,25/06/2023 11:59,,,,,,,,,,,
55,745,8774650000000,41,25/06/2023 11:59,,,,,,,,,,,
56,17,1167000000000,21,25/06/2023 10:08,,,,,,,,,,,
56,1057,1167000000000,21,25/06/2023 10:08,,,,,,,,,,,
56,253,1167000000000,21,25/06/2023 10:08,,,,,,,,,,,
56,662,1167000000000,21,25/06/2023 10:08,,,,,,,,,,,
56,829,1167000000000,21,25/06/2023 10:08,,,,,,,,,,,
57,19,3408210000000,67,25/06/2023 10:31,,,,,,,,,,,
57,1050,3408210000000,67,25/06/2023 10:31,,,,,,,,,,,
57,366,3408210000000,67,25/06/2023 10:31,,,,,,,,,,,
57,448,3408210000000,67,25/06/2023 10:31,,,,,,,,,,,
57,781,3408210000000,67,25/06/2023 10:31,,,,,,,,,,,
58,19,3229170000000,8,25/06/2023 15:22,,,,,,,,,,,
58,1063,3229170000000,8,25/06/2023 15:22,,,,,,,,,,,
58,223,3229170000000,8,25/06/2023 15:22,,,,,,,,,,,
58,413,3229170000000,8,25/06/2023 15:22,,,,,,,,,,,
58,866,3229170000000,8,25/06/2023 15:22,,,,,,,,,,,
59,4,1609260000000,40,25/06/2023 6:35,,,,,,,,,,,
59,1050,1609260000000,40,25/06/2023 6:35,,,,,,,,,,,
59,292,1609260000000,40,25/06/2023 6:35,,,,,,,,,,,
59,595,1609260000000,40,25/06/2023 6:35,,,,,,,,,,,
59,778,1609260000000,40,25/06/2023 6:35,,,,,,,,,,,
60,7,4611540000000,47,25/06/2023 17:11,,,,,,,,,,,
60,1067,4611540000000,47,25/06/2023 17:11,,,,,,,,,,,
60,359,4611540000000,47,25/06/2023 17:11,,,,,,,,,,,
60,674,4611540000000,47,25/06/2023 17:11,,,,,,,,,,,
60,999,4611540000000,47,25/06/2023 17:11,,,,,,,,,,,
61,20,1476790000000,43,25/06/2023 13:53,,,,,,,,,,,
61,1061,1476790000000,43,25/06/2023 13:53,,,,,,,,,,,
61,202,1476790000000,43,25/06/2023 13:53,,,,,,,,,,,
61,572,1476790000000,43,25/06/2023 13:53,,,,,,,,,,,
61,1032,1476790000000,43,25/06/2023 13:53,,,,,,,,,,,
62,1,5048760000000,37,25/06/2023 19:36,,,,,,,,,,,
62,1050,5048760000000,37,25/06/2023 19:36,,,,,,,,,,,
62,373,5048760000000,37,25/06/2023 19:36,,,,,,,,,,,
62,512,5048760000000,37,25/06/2023 19:36,,,,,,,,,,,
62,1030,5048760000000,37,25/06/2023 19:36,,,,,,,,,,,
63,5,4810400000000,87,25/06/2023 13:43,,,,,,,,,,,
63,1054,4810400000000,87,25/06/2023 13:43,,,,,,,,,,,
63,181,4810400000000,87,25/06/2023 13:43,,,,,,,,,,,
63,569,4810400000000,87,25/06/2023 13:43,,,,,,,,,,,
63,1040,4810400000000,87,25/06/2023 13:43,,,,,,,,,,,
64,21,9145870000000,97,25/06/2023 13:14,,,,,,,,,,,
64,1065,9145870000000,97,25/06/2023 13:14,,,,,,,,,,,
64,259,9145870000000,97,25/06/2023 13:14,,,,,,,,,,,
64,465,9145870000000,97,25/06/2023 13:14,,,,,,,,,,,
64,910,9145870000000,97,25/06/2023 13:14,,,,,,,,,,,
65,11,1298330000000,43,25/06/2023 14:22,,,,,,,,,,,
65,1058,1298330000000,43,25/06/2023 14:22,,,,,,,,,,,
65,375,1298330000000,43,25/06/2023 14:22,,,,,,,,,,,
65,545,1298330000000,43,25/06/2023 14:22,,,,,,,,,,,
65,860,1298330000000,43,25/06/2023 14:22,,,,,,,,,,,
66,9,2450200000000,3,25/06/2023 17:23,,,,,,,,,,,
66,1061,2450200000000,3,25/06/2023 17:23,,,,,,,,,,,
66,347,2450200000000,3,25/06/2023 17:23,,,,,,,,,,,
66,473,2450200000000,3,25/06/2023 17:23,,,,,,,,,,,
66,956,2450200000000,3,25/06/2023 17:23,,,,,,,,,,,
67,20,7699510000000,62,25/06/2023 5:46,,,,,,,,,,,
67,1057,7699510000000,62,25/06/2023 5:46,,,,,,,,,,,
67,203,7699510000000,62,25/06/2023 5:46,,,,,,,,,,,
67,458,7699510000000,62,25/06/2023 5:46,,,,,,,,,,,
67,875,7699510000000,62,25/06/2023 5:46,,,,,,,,,,,
68,16,9546180000000,85,25/06/2023 5:42,,,,,,,,,,,
68,1053,9546180000000,85,25/06/2023 5:42,,,,,,,,,,,
68,217,9546180000000,85,25/06/2023 5:42,,,,,,,,,,,
68,551,9546180000000,85,25/06/2023 5:42,,,,,,,,,,,
68,823,9546180000000,85,25/06/2023 5:42,,,,,,,,,,,
69,4,5908200000000,5,25/06/2023 19:28,,,,,,,,,,,
69,1060,5908200000000,5,25/06/2023 19:28,,,,,,,,,,,
69,370,5908200000000,5,25/06/2023 19:28,,,,,,,,,,,
69,553,5908200000000,5,25/06/2023 19:28,,,,,,,,,,,
69,744,5908200000000,5,25/06/2023 19:28,,,,,,,,,,,
70,2,2270860000000,97,25/06/2023 14:52,,,,,,,,,,,
70,1065,2270860000000,97,25/06/2023 14:52,,,,,,,,,,,
70,249,2270860000000,97,25/06/2023 14:52,,,,,,,,,,,
70,596,2270860000000,97,25/06/2023 14:52,,,,,,,,,,,
70,763,2270860000000,97,25/06/2023 14:52,,,,,,,,,,,
71,3,1909480000000,90,25/06/2023 9:18,,,,,,,,,,,
71,1054,1909480000000,90,25/06/2023 9:18,,,,,,,,,,,
71,187,1909480000000,90,25/06/2023 9:18,,,,,,,,,,,
71,595,1909480000000,90,25/06/2023 9:18,,,,,,,,,,,
71,991,1909480000000,90,25/06/2023 9:18,,,,,,,,,,,
72,19,1294620000000,48,25/06/2023 5:41,,,,,,,,,,,
72,1056,1294620000000,48,25/06/2023 5:41,,,,,,,,,,,
72,249,1294620000000,48,25/06/2023 5:41,,,,,,,,,,,
72,470,1294620000000,48,25/06/2023 5:41,,,,,,,,,,,
72,896,1294620000000,48,25/06/2023 5:41,,,,,,,,,,,
73,16,3680640000000,32,25/06/2023 9:46,,,,,,,,,,,
73,1066,3680640000000,32,25/06/2023 9:46,,,,,,,,,,,
73,309,3680640000000,32,25/06/2023 9:46,,,,,,,,,,,
73,454,3680640000000,32,25/06/2023 9:46,,,,,,,,,,,
73,794,3680640000000,32,25/06/2023 9:46,,,,,,,,,,,
74,18,8466010000000,68,25/06/2023 9:41,,,,,,,,,,,
74,1060,8466010000000,68,25/06/2023 9:41,,,,,,,,,,,
74,85,8466010000000,68,25/06/2023 9:41,,,,,,,,,,,
74,454,8466010000000,68,25/06/2023 9:41,,,,,,,,,,,
74,915,8466010000000,68,25/06/2023 9:41,,,,,,,,,,,
75,18,6260700000000,98,25/06/2023 16:37,,,,,,,,,,,
75,1053,6260700000000,98,25/06/2023 16:37,,,,,,,,,,,
75,147,6260700000000,98,25/06/2023 16:37,,,,,,,,,,,
75,528,6260700000000,98,25/06/2023 16:37,,,,,,,,,,,
75,831,6260700000000,98,25/06/2023 16:37,,,,,,,,,,,
76,5,6731050000000,65,25/06/2023 8:12,,,,,,,,,,,
76,1069,6731050000000,65,25/06/2023 8:12,,,,,,,,,,,
76,328,6731050000000,65,25/06/2023 8:12,,,,,,,,,,,
76,435,6731050000000,65,25/06/2023 8:12,,,,,,,,,,,
76,824,6731050000000,65,25/06/2023 8:12,,,,,,,,,,,
77,-1,4091470000000,76,25/06/2023 14:21,,,,,,,,,,,
77,-1,4091470000000,76,25/06/2023 14:21,,,,,,,,,,,
77,-1,4091470000000,76,25/06/2023 14:21,,,,,,,,,,,
77,-1,4091470000000,76,25/06/2023 14:21,,,,,,,,,,,
77,-1,4091470000000,76,25/06/2023 14:21,,,,,,,,,,,
78,13,9049580000000,71,25/06/2023 16:39,,,,,,,,,,,
78,1063,9049580000000,71,25/06/2023 16:39,,,,,,,,,,,
78,90,9049580000000,71,25/06/2023 16:39,,,,,,,,,,,
78,611,9049580000000,71,25/06/2023 16:39,,,,,,,,,,,
78,897,9049580000000,71,25/06/2023 16:39,,,,,,,,,,,
79,21,5019840000000,72,25/06/2023 17:41,,,,,,,,,,,
79,1051,5019840000000,72,25/06/2023 17:41,,,,,,,,,,,
79,64,5019840000000,72,25/06/2023 17:41,,,,,,,,,,,
79,397,5019840000000,72,25/06/2023 17:41,,,,,,,,,,,
79,869,5019840000000,72,25/06/2023 17:41,,,,,,,,,,,
80,12,9086240000000,80,25/06/2023 7:34,,,,,,,,,,,
80,1069,9086240000000,80,25/06/2023 7:34,,,,,,,,,,,
80,157,9086240000000,80,25/06/2023 7:34,,,,,,,,,,,
80,550,9086240000000,80,25/06/2023 7:34,,,,,,,,,,,
80,920,9086240000000,80,25/06/2023 7:34,,,,,,,,,,,
81,14,3071250000000,34,25/06/2023 5:17,,,,,,,,,,,
81,1053,3071250000000,34,25/06/2023 5:17,,,,,,,,,,,
81,52,3071250000000,34,25/06/2023 5:17,,,,,,,,,,,
81,674,3071250000000,34,25/06/2023 5:17,,,,,,,,,,,
81,887,3071250000000,34,25/06/2023 5:17,,,,,,,,,,,
